LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
4717615.335144,1565869.900,48660,10,PG,1,100,3605
4717615.345844,1565880.600,48660,10,PG,1,100,3567
4717615.356544,1565891.300,48660,10,PG,1,100,3600
4717615.367244,1565902.000,48660,10,PG,1,100,3588
4717615.376544,1565911.300,48676,10,PG,1,100,3585
4717615.385844,1565920.600,48676,10,PG,1,100,3594
4717615.395144,1565929.900,48676,10,PG,1,100,3593
4717615.404444,1565939.200,48676,10,PG,1,100,3583
4717615.413745,1565948.500,48676,10,PG,1,100,3573
4717615.423045,1565957.800,48676,10,PG,1,100,3592
4717615.432345,1565967.100,48676,10,PG,1,100,3589
4717615.441645,1565976.400,48676,10,PG,1,100,3593
4717615.450945,1565985.700,48676,10,PG,1,100,3599
4717615.460245,1565995.000,48676,10,PG,1,100,3578
4717615.470945,1566005.700,48693,10,PG,1,100,3613
4717615.481645,1566016.400,48693,10,PG,1,100,3615
4717615.492345,1566027.100,48693,10,PG,1,100,3592
4717615.503046,1566037.800,48693,10,PG,1,100,3596
4717615.513746,1566048.500,48693,10,PG,1,100,3614
4717615.524446,1566059.200,48693,10,PG,1,100,3596
4717615.535146,1566069.900,48693,10,PG,1,100,3582
4717615.545846,1566080.600,48693,10,PG,1,100,3582
4717615.556546,1566091.300,48693,10,PG,1,100,3602
4717615.567246,1566102.000,48693,10,PG,1,100,3610
4717615.577580,1566112.333,48710,9,PG,1,100,3603
4717615.587913,1566122.667,48710,9,PG,1,100,3595
4717615.598247,1566133.000,48710,9,PG,1,100,3613
4717615.608580,1566143.333,48710,9,PG,1,100,3605
4717615.618913,1566153.667,48710,9,PG,1,100,3608
4717615.629247,1566164.000,48710,9,PG,1,100,3573
4717615.639580,1566174.333,48710,9,PG,1,100,3633
4717615.649914,1566184.667,48710,9,PG,1,100,3601
4717615.660247,1566195.000,48710,9,PG,1,100,3628
4717615.669884,1566204.636,48725,11,PG,1,100,3585
4717615.679520,1566214.273,48725,11,PG,1,100,3619
4717615.689157,1566223.909,48725,11,PG,1,100,3599
4717615.698793,1566233.545,48725,11,PG,1,100,3601
4717615.708430,1566243.182,48725,11,PG,1,100,3590
4717615.718066,1566252.818,48725,11,PG,1,100,3630
4717615.727702,1566262.455,48725,11,PG,1,100,3604
4717615.737339,1566272.091,48725,11,PG,1,100,3633
4717615.746975,1566281.727,48725,11,PG,1,100,3571
4717615.756612,1566291.364,48725,11,PG,1,100,3603
4717615.766248,1566301.000,48725,11,PG,1,100,3608
4717615.776693,1566311.444,48743,9,PG,1,100,3636
4717615.787137,1566321.889,48743,9,PG,1,100,3622
4717615.797582,1566332.333,48743,9,PG,1,100,3614
4717615.808027,1566342.778,48743,9,PG,1,100,3607
4717615.818471,1566353.222,48743,9,PG,1,100,3596
4717615.828916,1566363.667,48743,9,PG,1,100,3626
4717615.839360,1566374.111,48743,9,PG,1,100,3615
4717615.849805,1566384.556,48743,9,PG,1,100,3594
4717615.860249,1566395.000,48743,9,PG,1,100,3624
4717615.869977,1566404.727,48758,11,PG,1,100,3635
4717615.879704,1566414.455,48758,11,PG,1,100,3600
4717615.889432,1566424.182,48758,11,PG,1,100,3588
